"V1" "V2" "V3" "V4"
"53" 5.7 2.9 4.2 1.3
"54" 5.7 3 4.2 1.2
"55" 5.6 2.9 3.6 1.3
"56" 7 3.2 4.7 1.4
"57" 6.8 2.8 4.8 1.4
"58" 6.1 2.8 4.7 1.2
"59" 4.9 2.4 3.3 1
"60" 5.8 2.7 3.9 1.2
"61" 5.8 2.6 4 1.2
"62" 5.5 2.4 3.7 1
"63" 6.7 3 5 1.7
"64" 5.7 2.8 4.1 1.3
"65" 6.7 3.1 4.4 1.4
"66" 5.5 2.3 4 1.3
"67" 5.1 2.5 3 1.1
"68" 6.6 2.9 4.6 1.3
"69" 5 2.3 3.3 1
"70" 6.9 3.1 4.9 1.5
"71" 5 2 3.5 1
"72" 5.6 3 4.5 1.5
"73" 5.6 3 4.1 1.3
"74" 5.8 2.7 4.1 1
"75" 6.3 2.3 4.4 1.3
"76" 6.1 3 4.6 1.4
"77" 5.9 3 4.2 1.5
"78" 6 2.7 5.1 1.6
"79" 5.6 2.5 3.9 1.1
"80" 6.7 3.1 4.7 1.5
"81" 6.2 2.2 4.5 1.5
"82" 5.9 3.2 4.8 1.8
"83" 6.3 2.5 4.9 1.5
"84" 6 2.9 4.5 1.5
"85" 5.6 2.7 4.2 1.3
"86" 6.2 2.9 4.3 1.3
"87" 6 3.4 4.5 1.6
"88" 6.5 2.8 4.6 1.5
"89" 5.7 2.8 4.5 1.3
"90" 6.1 2.9 4.7 1.4
"91" 5.5 2.5 4 1.3
"92" 5.5 2.6 4.4 1.2
"93" 5.4 3 4.5 1.5
"94" 6.3 3.3 4.7 1.6
"95" 5.2 2.7 3.9 1.4
"96" 6.4 2.9 4.3 1.3
"97" 6.6 3 4.4 1.4
"98" 5.7 2.6 3.5 1
"99" 6.1 2.8 4 1.3
"100" 6 2.2 4 1
"101" 6.3 3.3 6 2.5
"102" 6.7 3.3 5.7 2.1
"103" 7.2 3.6 6.1 2.5
"104" 7.7 3.8 6.7 2.2
"105" 7.2 3 5.8 1.6
"106" 7.4 2.8 6.1 1.9
"107" 7.6 3 6.6 2.1
"108" 7.7 2.8 6.7 2
"109" 6.2 3.4 5.4 2.3
"110" 7.7 3 6.1 2.3
"111" 6.8 3 5.5 2.1
"112" 6.4 2.7 5.3 1.9
"113" 5.7 2.5 5 2
"114" 6.9 3.1 5.1 2.3
"115" 5.9 3 5.1 1.8
"116" 6.3 3.4 5.6 2.4
"117" 5.8 2.7 5.1 1.9
"118" 6.3 2.7 4.9 1.8
"119" 6 3 4.8 1.8
"120" 7.2 3.2 6 1.8
"121" 6.2 2.8 4.8 1.8
"122" 6.9 3.1 5.4 2.1
"123" 6.7 3.1 5.6 2.4
"124" 6.4 3.1 5.5 1.8
"125" 5.8 2.7 5.1 1.9
"126" 6.1 3 4.9 1.8
"127" 6 2.2 5 1.5
"128" 6.4 3.2 5.3 2.3
"129" 5.8 2.8 5.1 2.4
"130" 6.9 3.2 5.7 2.3
"131" 6.7 3 5.2 2.3
"132" 7.7 2.6 6.9 2.3
"133" 6.3 2.8 5.1 1.5
"134" 6.5 3 5.2 2
"135" 7.9 3.8 6.4 2
"136" 6.1 2.6 5.6 1.4
"137" 6.4 2.8 5.6 2.1
"138" 6.3 2.5 5 1.9
"139" 4.9 2.5 4.5 1.7
"140" 6.8 3.2 5.9 2.3
"141" 7.1 3 5.9 2.1
"142" 6.7 3.3 5.7 2.5
"143" 6.3 2.9 5.6 1.8
"144" 6.5 3 5.5 1.8
"145" 6.5 3 5.8 2.2
"146" 7.3 2.9 6.3 1.8
"147" 6.7 2.5 5.8 1.8
"148" 5.6 2.8 4.9 2
"149" 6.4 2.8 5.6 2.2
"150" 6.5 3.2 5.1 2
